1 "ABBOTT, HARVEY L."
2654 "Halberstam, Fay Y."
2655 "Halberstam, Heini"
2656 "Hale, Mark P., Jr."
2657 "Hales, Alfred W."
2658 "Hall, Charles A."
2659 "Hall, Frank J."
2660 "Hall, Jonathan I."
2661 "Hall, Marshall, Jr."
2662 "Hall, R. S."
2663 "Halldorsson, Magnus M."
2664 "Hallenbeck, David J."
2665 "Hallum, Kathleen C."
2666 "Hallyburton, John C., Jr."
2667 "Halmos, Paul R."
2668 "Halperin, Dan"
2669 "Halperin, Eran"
2670 "Halperin, J., Jr."
2671 "Halpern, Herbert"
2672 "Halpert, Ariel"
2673 "Halpin, Patrick"
2674 "Halton, John Henry"
2675 "Hamada, Noborv"
2676 "Hamaker, William"
2677 "Hambrusch, Susanne E."
2678 "Hamel, Angele Marie"
2679 "Hamkins, Joel David"
2680 "Hamm, Rose C."
2681 "Hammer, Peter L."
2682 "Han, Shu-Ping"
2683 "Han, Zhen Yao"
2684 "Hancl, Jaroslav"
2685 "Handelman, David"
2686 "Handley, Chris C."
2687 "Hanen, A."
2688 "Hanisch, Herman"
2689 "Hankerson, Darrel R."
2690 "Hanlon, Phil"
2691 "Hannak, Laszlo"
2692 "Hanrot, Guillaume"
2693 "Hansell, Roger W."
2694 "Hansen, Jennie C."
2695 "Hansen, Lars Kai"
2696 "Hansen, Lisa"
2697 "Hansen, Lowell J."
2698 "Hansen, Pierre"
2699 "Hanson, John"
2700 "Hansoul, Georges E."
2701 "Har-Peled, Sariel"
2702 "Harari, Yuval"
2703 "Haraux, Alain"
2704 "Harborth, Heiko"
2705 "Harder, Gunter"
2706 "Hardin, Ronald Hunter"
2707 "Hardy, Godfrey Harold"
2708 "Hare, David R."
2709 "Hare, Donovan R."
2710 "Hare, Eleanor O."
2711 "Harland, John Robinson"
2712 "Harman, Glyn"
2713 "Harmon, Gregory"
2714 "Harms, Daryl D."
2715 "Harms, Janelle J."
2716 "Harnchoowong, Ajchara"
2717 "Harnik, Victor"
2718 "Harper, Lawrence H."
2719 "Harrington, Leo A."
2720 "Harris, Andrew J."
2721 "Harris, Frederick C., Jr."
2722 "Harris, John M."
2723 "Harris, Laura"
2724 "Harris, T. E."
2725 "Harris, V. C."
2726 "Harrop, Ronald"
2727 "Hart, Bradd"
2728 "Hart, Joan E."
2729 "Hart, Sergiu"
2730 "Hartfiel, Darald J."
2731 "Hartig, Klaus"
2732 "Hartman, Alan"
2733 "Hartman, Irith Ben-Arroyo"
2734 "Hartman, Philip"
2735 "Hartmann, Mark"
2736 "Hartnell, Bert L."
2737 "Hartung, Paul"
2738 "Haruki, Hiroshi"
2739 "Haruki, Shigeru"
2740 "Hashim, Ashwaq"
2741 "Hashmi, Jahangir A."
2742 "Hassan, Al-Zaid"
2743 "Hasse, Helmut"
2744 "Hasson, Maurice"
2745 "Hastad, Johan T."
2746 "Hasumi, Morisuke"
2747 "Hattori, Masayuki"
2748 "Hatvani, Laszlo"
2749 "Hausel, Tamas"
2750 "Hausman, Miriam"
2751 "Haussler, David"
2752 "Havas, George"
2753 "Havas, I."
2754 "Havelock, Ronald"
2755 "Haviar, Alfonz"
2756 "Haviland, E. K."
2757 "Hawkins, D."
2758 "Haxell, Penny E."
2759 "Hay, Barbara"
2760 "Haydon, Richard G."
2761 "Hayes, Allan"
2762 "Hayes, John P."
2763 "Hayes, Stanley E."
2764 "Hayes, Thomas P."
2765 "Hayman, Walter Kurt"
2766 "Haynes, Teresa W."
2767 "Haynsworth, Emilie"
2768 "He, Qing"
2769 "He, Tian Xiao"
2770 "He, Wenjie"
2771 "Heal, Geoff"
2772 "Heath, David C."
2773 "Hecht, Tomas"
2774 "Hedenmalm, Hakan"
2775 "Hedetniemi, Sandra Mitchell"
2776 "Hegedus, Pal"
2777 "Heidelberg, Ralph"
2778 "Heilmann, Ole J."
2779 "Heinis, Alex"
2780 "Heinrich, Katherine"
2781 "Hejduk, Jacek"
2782 "Held, Michael"
2783 "Helfand, Eugene"
2784 "Helland, Pat"
2785 "Heller, Isidor"
2786 "Heller, Jurgen"
2787 "Hellerstein, Simon"
2788 "Helson, Henry"
2789 "Hemaspaandra, Lane A."
2790 "Hemmer, Per Chr."
2791 "Hempel, Harald"
2792 "Henderson, Peter B."
2793 "Hendy, Michael D."
2794 "Henkin, Leon A."
2795 "Henle, James M."
2796 "Hennecart, Francois"
2797 "Hennemuth, Richard C."
2798 "Henry, Myron S."
2799 "Hensel, A. D."
2800 "Hensley, Douglas"
2801 "Henson, C. Ward"
2802 "Henson, Teresa D."
2803 "Hentzel, Irvin Roy"
2804 "Heo, Jun-Hang"
2805 "Heppes, Aladar"
2806 "Heppner, Ernst"
2807 "Herda, Hans"
2808 "Herman, Gabor T."
2809 "Herman, Joan E."
2810 "Hermann, Peter Z."
2811 "Hermann, Thomas"
2812 "Hermida, Claudio"
2813 "Hernane, Mohand-Ouamar"
2814 "Herndon, William C."
2815 "Hershberger, John"
2816 "Hershkowitz, Daniel"
2817 "Herstein, Israel N."
2818 "Herzog, Joachim"
2819 "Hesse, G."
2820 "Hetyei, Gabor L."
2821 "Hevia, Hector"
2822 "Hewitt, Edwin"
2823 "Hexel, Erhard"
2824 "Heydemann, Marie-Claude"
2825 "Hicks, Gregory"
2826 "Hiester, N. K."
2827 "Higashiyama, Yoichi"
2828 "Higgins, F. E."
2829 "Higman, Graham"
2830 "Hildrum, Kris"
2831 "Hill, Anthony P."
2832 "Hill, John D."
2833 "Hill, S. P."
2834 "Hille, Einar"
2835 "Hiller, Howard Lyn"
2836 "Hilliker, David Lee"
2837 "Hillman, Abraham P."
2838 "Hilton, Anthony J. W."
2839 "Hilton, Peter John"
2840 "Hind, Hugh R. F."
2841 "Hinkkanen, Aimo"
2842 "Hinkley, David V."
2843 "Hinrichs, Lowell A."
2844 "Hirata-Kohno, Noriko"
2845 "Hirsch, Warren M."
2846 "Hirschfeld, James William Peter"
2847 "Hirschhorn, Michael D."
2848 "Hirst, Jeffry L."
2849 "Hitczenko, Pawel"
2850 "Hjorth, Poul Georg"
2851 "Hlawka, Edmund"
2852 "Ho, Chat Y."
2853 "Ho, Ching-Tien"
2854 "Hoang, Chinh T."
2855 "Hobart, Sylvia A."
2856 "Hobinger, Johannes"
2857 "Hochbaum, Dorit S."
2858 "Hochberg, Robert"
2859 "Hochberg, Yosef"
2860 "Hochstattler, Winfried"
2861 "Hodes, Louis"
2862 "Hodges, Kenneth"
2863 "Hodges, Wilfred"
2864 "Hodkinson, Ian"
2865 "Hoede, Cornelis"
2866 "Hoehn, Larry"
2867 "Hoffgen, Klaus-Uwe"
2868 "Hoffman, Dean G."
2869 "Hoffman, Frederick"
2870 "Hoffman, Ilya"
2871 "Hoffman, Michael J."
2872 "Hoffmann, Frank"
2873 "Hoffmann, Gyorgy"
2874 "Hoffmann, Karl Heinz"
2875 "Hoffmann-Joergensen, Jorgen"
2876 "Hofmeister, Gred"
2877 "Hofmeister, Michael"
2878 "Hofmeister, Thomas"
2879 "Hoholdt, Tom"
2880 "Hola, Lubica"
2881 "Holbert, Karen S."
2882 "Holdridge, Diane B."
2883 "Holland, Anthony Stanley Bassett"
2884 "Holland, W. Charles"
2885 "Holley, Lisa"
2886 "Hollinger, David L."
2887 "Hollmann, Henk D. L."
2888 "Holmes, Susan P."
2889 "Holroyd, Fred C."
2890 "Holst, Lars"
2891 "Holsztynski, Wlodzimierz"
2892 "Holt, Jeffrey J."
2893 "Holt, Linda M."
2894 "Holzmann, Carlos A."
2895 "Hominal, Pierre"
2896 "Honargohar, Zorabi"
2897 "Hong, Dong"
2898 "Hong, Jia-Wei"
2899 "Honkala, Iiro S."
2900 "Hoory, Shlomo"
2901 "Hoover, H. James"
2902 "Hoover, Mark"
2903 "Hoover-Plow, Jane"
2904 "Hopkins, Glenn W."
2905 "Hopkins, Laurie B."
2906 "Horn, Alfred"
2907 "Horn, Roger A."
2908 "Hornik, Kurt"
2909 "Horowitz, Joseph"
2910 "Horton, Joseph D."
2911 "Horvath, Agota P."
2912 "Horvath, Jean"
2913 "Horvath, Lajos"
2914 "Horwitz, Alan L."
2915 "Hosono, Kiyoshi"
2916 "Hosoya, Haruo"
2917 "Hossain, Moazzem"
2918 "Hosszu, Miklos"
2919 "Host, Bernard"
2920 "Host, Linda H."
2921 "Houdre, Christian"
2922 "Houle, Michael E."
2923 "Housworth, Elizabeth Ann"
2924 "Houten, Lorne"
2925 "Howard, Paul E."
2926 "Howe, Roger E."
2927 "Howell, Gary W."
2928 "Howes, Leonard"
2929 "Howie, John M."
2930 "Hronec, Jur"
2931 "Hrushovski, Ehud"
2932 "Hsia, John S."
2933 "Hsiang, Jieh"
2934 "Hsiao, David"
2935 "Hsieh, W. N."
2936 "Hsu, David"
2937 "Hsu, Elton Pei"
2938 "Hsu, Leetsch Charles"
2939 "Hsu, Li Hsing"
2940 "Hsu, N. C."
2941 "Hsu, Pao Lu (Xu, Bao Lu)"
2942 "Hsu, Tim"
2943 "Hu, Hongde"
2944 "Hu, Hui"
2945 "Hu, Joanne"
2946 "Hu, Jun"
2947 "Hu, Te Chiang"
2948 "Hu, Wen Feng"
2949 "Hu, Xiao Dong"
2950 "Hu, Xiao Yu"
2951 "Hu, Ying Sheng"
2952 "Hu, Yueyun"
2953 "Huang, Bae-Shi"
2954 "Huang, Charlotte"
2955 "Huang, Jing"
2956 "Huang, Ta Yuan"
2957 "Huang, Xiaojun"
2958 "Huang, Yi Ru"
2959 "Huber, Martin"
2960 "Huck, Andreas"
2961 "Hughes, Charles E."
2962 "Hughes, Daniel R."
2963 "Hughes, Ian G."
2964 "Hughes, John F."
2965 "Hughes, Kimball Newton"
2966 "Hui, Roger"
2967 "Hui, Stefen Y."
2968 "Huisgen-Zimmermann, Birge"
2969 "Huisman, Leendert M."
2970 "Hujter, Mihaly"
2971 "Hulanicki, A."
2972 "Hulpke, Alexander"
2973 "Humke, Paul D."
2974 "Hummel, James A."
2975 "Hunsucker, John L."
2976 "Hunt, David C."
2977 "Huotari, Robert"
2978 "Hurlbert, Glenn H."
2979 "Hurst, Fair Barbour"
2980 "Hurtado, Ferran"
2981 "Hurwitz, Alexander"
2982 "Hurwitz, Henry, Jr."
2983 "Husek, Miroslav"
2984 "Hutchinson, Joan P."
2985 "Huxley, Martin N."
2986 "Hwang, Frank Kwangming"
2987 "Hwang, Lihui"
2988 "Hyers, Donald H."
2989 "Hynds, Emily A."
2990 "Hyttinen, Tapani"
2991 "Ibarra, Oscar H."
2992 "Idzik, Adam"
2993 "Ihrig, Ed"
2994 "Ihringer, Thomas"
2995 "Il'in, Vladimir Aleksandrovich"
2996 "Im, Carl J. C."
2997 "Imai, Hiroshi"
2998 "Imai, Masaki"
2999 "Immerman, Neil"
3000 "Imoru, Christopher Olutunde"
3001 "Impagliazzo, Russell"
3002 "Imrich, Wilfried"
3003 "Ingarden, Roman S."
3004 "Ingemarsson, Ingemar"
3005 "Ingleton, Aubrey William"
3006 "Inkpen, Kori"
3007 "Inkret, William C."
3008 "Iosifescu, Marius"
3009 "Iqbalunnisa, T."
3010 "Iri, Masao"
3011 "Irwin, John M."
3012 "Isaak, Garth T."
3013 "Isaev, Alexander V."
3014 "Isbell, John R."
3015 "Iscoe, Ian"
3016 "Ishigami, Yoshiyasu"
3017 "Iskra, Jeseph A."
3018 "Ismail, Mourad E. H."
3019 "Ismatullaev, Sh. A."
3020 "Isopi, Marco"
3021 "Israeli, Amos"
3022 "Itai, Alon"
3023 "Ito, Noboru"
3024 "Ito, Yuji"
3025 "Ivanov, A. V."
3026 "Ivanov, Kamen G."
3027 "Ivanov, Sergei A."
3028 "Ivanyi, Antal"
3029 "Ivanyos, Gabor"
3030 "Ives, D. J."
3031 "Iwaniec, Henryk"
3032 "Iwanik, Anzelm"
3033 "Iyengar, Sitharama S."
3034 "Izumi, Shin-ichi"
3035 "Jackson, Bill"
3036 "Jackson, Bradley W."
3037 "Jackson, David M."
3038 "Jackson, Douglas E."
3039 "Jackson, Howard L."
3040 "Jackson, Terrence H."
3041 "Jackson, Wen-Ai"
3042 "Jacobs, David Pokrass"
3043 "Jacobs, Walter"
3044 "Jacobson, Theodore"
3045 "Jaeger, Francois"
3046 "Jaffray, Alan"
3047 "Jager, Sabine"
3048 "Jaglom, Isaac M."
3049 "Jagy, William C."
3050 "Jain, Naresh C."
3051 "Jain, Pushpa Kumari"
3052 "Jajcay, Robert"
3053 "Jajodia, Sushil"
3054 "Jakimovski, Amnon"
3055 "Jakob, Matthias"
3056 "Jakubowicz, Oleg"
3057 "James, Brent"
3058 "James, R. D."
3059 "Jameson, Graham J. O."
3060 "Jamil, Basharat A."
3061 "Jamison, James E."
3062 "Jamison, Robert E."
3063 "Jammalamadaka, Sreenivasa Rao"
3064 "Janakiraman, T. N."
3065 "Janic, Radovan R."
3066 "Janossy, Lajos"
3067 "Janota, Vit"
3068 "Jansen, Klaus"
3069 "Janssen, A. J. E. M."
3070 "Janwa, Heeralal"
3071 "Jarai, Antal"
3072 "Jarden, Moshe"
3073 "Jarecki, Stanislaw"
3074 "Jarrett, Elzbieta B."
3075 "Jarvis, John J."
3076 "Jaworski, Jerzy"
3077 "Jayaram, S. R."
3078 "Jayasumana, Anura P."
3079 "Jayawardene, Chula J."
3080 "Jayne, John E."
3081 "Jech, Thomas J."
3082 "Jedwab, Jonathan"
3083 "Jellinek, Julius"
3084 "Jendrol, Stanislav"
3085 "Jenkyns, Tom A."
3086 "Jennings, George"
3087 "Jensen, Erik"
3088 "Jensen, Tommy R."
3089 "Jerison, David S."
3090 "Jerison, Meyer"
3091 "Jermiin, Lars S."
3092 "Jerome, Joseph"
3093 "Jerrard, Richard P."
3094 "Jerrum, Mark"
3095 "Jessen, Borge"
3096 "Jessop, Nicholas"
3097 "Jesurum, C. Esther"
3098 "Jetter, Kurt"
3099 "Jevtic, Dusan B."
3100 "Jewell, Nicholas P."
3101 "Jezek, Jaroslav"
3102 "Jha, Shing-Whu"
3103 "Jha, Vikram"
3104 "Jhunjhunwala, N."
3105 "Jia, Rong Qing"
3106 "Jia, Rui Zhong"
3107 "Jia, Xing De"
3108 "Jian, Chen"
3109 "Jiang, Er Xiong"
3110 "Jiang, Tao-1"
3111 "Jiang, Zhike"
3112 "Jimenez-Urroz, Jorge"
3113 "Jin, Hui-2"
3114 "Jin, Renling"
3115 "Jipsen, Peter"
3116 "Jockusch, Carl G., Jr."
3117 "Joffe, Anatole"
3118 "Joffe, Peter"
3119 "Johansson, Thomas"
3120 "John, Peter Eugen"
3121 "John, Peter W. M."
3122 "Johns, Garry L."
3123 "Johnson, Barry Edward"
3124 "Johnson, Charles Royal"
3125 "Johnson, Christopher W."
3126 "Johnson, David Stifler"
3127 "Johnson, Donald G."
3128 "Johnson, Ellis L."
3129 "Johnson, Eugene W."
3130 "Johnson, G. D."
3131 "Johnson, Joseph Lemmel, Jr."
3132 "Johnson, Karen Anne"
3133 "Johnson, Kathryn E."
3134 "Johnson, Kenneth Walter"
3135 "Johnson, Mark A."
3136 "Johnson, Norman Lloyd-2"
3137 "Johnson, Norman W."
3138 "Johnson, O."
3139 "Johnson, Peter D., Jr."
3140 "Johnson, Roy A."
3141 "Johnson, William B."
3142 "Jones, Anthony"
3143 "Jones, Burton W."
3144 "Jones, F. Burton"
3145 "Jones, J. E."
3146 "Jones, James P."
3147 "Jones, Kathryn F."
3148 "Jones, Peter W."
3149 "Jones, Roger L."
3150 "Jonoska, Natasa"
3151 "Jonsson, Bjarni"
3152 "Jordan, Tibor"
3153 "Jorgensen, Leif K."
3154 "Joubert, Wayne D."
3155 "Joux, Antoine"
3156 "Joyce, Dominic"
3157 "Joyce, H."
3158 "Joyce, James"
3159 "Jozsa, S."
3160 "Jucovic, Ernest"
3161 "Judah, Haim I."
3162 "Judah, Sherry"
3163 "Juhasz, Istvan"
3164 "Jung, Heinz Adolf"
3165 "Jung, Hyung Chan"
3166 "Jung, Soon-Mo"
3167 "Junge, Bjarne"
3168 "Jungnickel, Dieter"
3169 "Jurek, Zbigniew"
3170 "Jurkat, Wolfgang B."
3171 "Just, Bettina"
3172 "Just, Winfried"
3173 "Justicz, Joyce"
3174 "Jutila, Matti"
3175 "Kabell, Jerald A."
3176 "Kadlecek, David"
3177 "Kafka, P."
3178 "Kafri, Oded"
3179 "Kaftal, Victor G."
3180 "Kahale, Nabil"
3181 "Kahane, Jean-Pierre"
3182 "Kahane, Joseph"
3183 "Kahaner, David K."
3184 "Kahn, Jeffry N."
3185 "Kahn, Maragaret H."
3186 "Kaiser, Hans K."
3187 "Kajitani, Yoji"
3188 "Kalai, Gil"
3189 "Kalbfleisch, James G."
3190 "Kalisch, Gerhard K."
3191 "Kallenberg, Olav"
3192 "Kallman, Robert R."
3193 "Kallos, Gabor"
3194 "Kalmar, Laszlo"
3195 "Kalton, Nigel J."
3196 "Kaluza, Theodor, Jr."
3197 "Kamae, Teturo"
3198 "Kameda, Tsunehiko"
3199 "Kamienny, Sheldon"
3200 "Kaminski, Andrzej"
3201 "Kaminski, Michael"
3202 "Kamke, Erich"
3203 "Kamps, H. J. L."
3204 "Kanagasabapathy, P."
3205 "Kanamori, Akihiro"
3206 "Kandel, Daniel"
3207 "Kane, Gordon L."
3208 "Kane, Vinay G."
3209 "Kaneko, Atsushi"
3210 "Kanemitsu, Shigeru"
3211 "Kaniel, R."
3212 "Kaniewski, Janusz"
3213 "Kannan, Ravindran"
3214 "Kannan, Sampath"
3215 "Kannappan, Palaniappan"
3216 "Kantor, K."
3217 "Kantor, Wallace"
3218 "Kantor, William M."
3219 "Kanungo, Tapas"
3220 "Kaplan, Gil"
3221 "Kaplan, Haim"
3222 "Kapoor, Shashichand F."
3223 "Karabed, Razmik"
3224 "Karabeg, Dino"
3225 "Karacuba, Anatolij A."
3226 "Karchmer, Mauricio"
3227 "Kardos, Peter"
3228 "Kari, Lila"
3229 "Karlin, Anna R."
3230 "Karlin, Samuel"
3231 "Karloff, Howard J."
3232 "Karmarkar, Narendra"
3233 "Karolyi, Gyula"
3234 "Karonski, Michal"
3235 "Karp, Lavi"
3236 "Karp, Richard M."
3237 "Karpinski, Marek"
3238 "Karpovsky, Mark G."
3239 "Karr, Alan"
3240 "Karusch, William"
3241 "Kasahara, Yuji"
3242 "Kasch, Friedrich"
3243 "Kasif, Simon"
3244 "Kasimatis, E. A."
3245 "Kasiraj, Jothi"
3246 "Kassay, Gabor"
3247 "Kasteleyn, P. W."
3248 "Kaszonyi, Laszlo"
3249 "Kataoka, Toshitaka"
3250 "Katchalski, Meir"
3251 "Kato, Akio"
3252 "Katoh, Naoki"
3253 "Katona, Gyula O. H."
3254 "Katona, Gyula Y."
3255 "Katrinak, Tibor"
3256 "Katsevich, Alexander I."
3257 "Katsifarakis, K. L."
3258 "Katz, Ian"
3259 "Katz, Morris W."
3260 "Katz, Paul"
3261 "Katz, Shmuel"
3262 "Katznelson, Yitzhak"
3263 "Kauffman, Louis H."
3264 "Kaufman, B."
3265 "Kaufman, Edwin H., Jr."
3266 "Kaufman, Robert P."
3267 "Kaufmann, Matt"
3268 "Kaugars, Agnis"
3269 "Kawarabayashi, Ken-ichi"
3270 "Kay, David C."
3271 "Kaznachey, Dmitri"
3272 "Keane, Michael S."
3273 "Kearnes, Keith A."
3274 "Kechris, Alexander S."
3275 "Kedem, Gershon"
3276 "Kedem, Klara"
3277 "Keedwell, Anthony Donald"
3278 "Keeler, Emmett B."
3279 "Keeney, Ralph L."
3280 "Keich, Uri"
3281 "Keil, J. Mark"
3282 "Keisler, H. Jerome"
3283 "Keleti, Tamas"
3284 "Kellerer, Hans-2"
3285 "Kelley, Carl T."
3286 "Kelly, B. G. A."
3287 "Kelly, David"
3288 "Kelly, Jerry Stewart"
3289 "Kelly, Leroy M."
3290 "Kelly, Patrick A."
3291 "Kelmans, Alexander K."
3292 "Kelsen, Pierre"
3293 "Kemperman, Johannes Henricus Bernardus"
3294 "Kempner, A. J."
3295 "Kenderov, Petar Stojanov"
3296 "Kenelly, John W., Jr."
3297 "Kennedy, Charles"
3298 "Kennedy, P. B."
3299 "Kennel, C. W."
3300 "Kent, Darrell C."
3301 "Kenyon, Claire"
3302 "Keough, F. R."
3303 "Kerdock, Anthony M."
3304 "Keren, Arie"
3305 "Kern, U."
3306 "Kern, Walter"
3307 "Kershner, R."
3308 "Kertesz, Andor"
3309 "Kertesz, G."
3310 "Kervaire, Michel"
3311 "Kessler, Irving"
3312 "Kessler, Ofra"
3313 "Kesten, Harry"
3314 "Kestin, Joseph"
3315 "Ketskemety, I."
3316 "Key, Jennifer D."
3317 "Kezdy, Andre E."
3318 "Khachatrian, Levon H."
3319 "Khairt, Mahmoud K."
3320 "Khamis, Soheir M."
3321 "Khanna, Sanjeev"
3322 "Kharaghani, Hadi"
3323 "Khavinson, Dmitry"
3324 "Khelladi, Abdelkader"
3325 "Khoo, David S. P."
3326 "Khoshnevisan, Davar"
3327 "Khosrovshahi, G. B."
3328 "Khurrum, Mohammed"
3329 "Kibler, Robert E."
3330 "Kiefer, Jean"
3331 "Kiely, Aaron B."
3332 "Kiesewetter, Helmut"
3333 "Kilgore, Theodore A."
3334 "Kilgour, D. Marc"
3335 "Killgrove, Raymond B."
3336 "Kilmister, Clive W."
3337 "Kim, An-Hyun"
3338 "Kim, Ann Chi"
3339 "Kim, Hong W."
3340 "Kim, Jeong Han"
3341 "Kim, Jeong-Heon"
3342 "Kim, Jin Bai"
3343 "Kim, Kang-Tae"
3344 "Kim, Ki Hang"
3345 "Kim, Ki-Chang"
3346 "Kim, Sam M."
3347 "Kim, Su Hee"
3348 "Kim, Suh-Ryung"
3349 "Kimberling, Clark"
3350 "Kimble, Robert J., Jr."
3351 "Kimmel, Peter G."
3352 "Kincaid, Wilfred M."
3353 "Kinch, Lael F."
3354 "Kincses, J."
3355 "King, Clarence"
3356 "King, Ellen L."
3357 "King, R. Bruce"
3358 "King, Valerie"
3359 "Kingman, J. F. C."
3360 "Kiraly, Zoltan"
3361 "Kirfel, Christoph"
3362 "Kirkland, Stephen J."
3363 "Kirkpatrick, David G."
3364 "Kirwan, William E., II"
3365 "Kis, Otto"
3366 "Kisilevsky, Hershy"
3367 "Kiss, Emil W."
3368 "Kister, James Milton"
3369 "Kitto, Cyrus"
3370 "Kiuchi, Isao"
3371 "Kiyota, Masao"
3372 "Klabjan, D."
3373 "Klappenecker, Andreas"
3374 "Klarner, David A."
3375 "Klauder, John R."
3376 "Klazar, Martin"
3377 "Kleber, Michael"
3378 "Klee, Karl"
3379 "Klee, Victor L."
3380 "Kleeman, J."
3381 "Kleidman, Peter B."
3382 "Kleiman, Mark"
3383 "Klein, David"
3384 "Klein, Douglas J."
3385 "Klein, Rivka"
3386 "Klein, Shmuel T."
3387 "Klein, Sulamita"
3388 "Kleinberg, Eugene M."
3389 "Klema, Virginia C."
3390 "Klerlein, Joseph B."
3391 "Kleywegt, Anton J."
3392 "Klimmek, Regina"
3393 "Klincsek, G. T."
3394 "Klipker, Israel A."
3395 "Kloks, Ton"
3396 "Kloss, Kenneth E."
3397 "Klostermeyer, William F."
3398 "Knapowski, Stanislaw"
3399 "Knaster, Bronislaw"
3400 "Knebusch, Manfred"
3401 "Knichal, Vladimir"
3402 "Knill, Emanuel"
3403 "Knisely, James"
3404 "Knisley, Debra J."
3405 "Knobloch, Hans-Joachim"
3406 "Knop, Osvald"
3407 "Knopfmacher, Arnold"
3408 "Knopfmacher, John"
3409 "Knopp, Konrad"
3410 "Knopp, Marvin I."
3411 "Knor, Martin"
3412 "Knowles, J. D."
3413 "Knowles, Kevin Maxwell"
3414 "Knuth, Donald Ervin"
3415 "Ko, C. S."
3416 "Ko, Tsz-Mei"
3417 "Kobayashi, Kusuo"
3418 "Kocay, William L."
3419 "Kochen, Simon B."
3420 "Kochenberger, Gary A."
3421 "Kochman, Fred"
3422 "Kochut, Krys J."
3423 "Koczy, Laszlo T."
3424 "Koda, Yasunori"
3425 "Kodaira, Kunihiko"
3426 "Kodama, Akio"
3427 "Kodama, Yukihiro"
3428 "Koehl, F. S."
3429 "Koenig, Sven"
3430 "Koh, Khee Meng"
3431 "Koh, S. H."
3432 "Kohavi, Zvi"
3433 "Kohlbecker, Eugene E."
3434 "Kohler, Norbert"
3435 "Kohls, Carl W."
3436 "Kohn, S."
3437 "Kojman, Menachem"
3438 "Kok, J. J."
3439 "Kolaitis, Phokion G."
3440 "Kolasinska, Elzbieta"
3441 "Kolb, Rickey A."
3442 "Kolen, Antoon W. J."
3443 "Kollar, Janos"
3444 "Kolman, Oren"
3445 "Kolodner, Ignace I."
3446 "Kolossa, Katalin"
3447 "Kolountzakis, Mihail N."
3448 "Kolstad, Brian"
3449 "Komlos, John"
3450 "Kommel, Helene J."
3451 "Kompfner, R."
3452 "Konheim, Alan G."
3453 "Konig, Wolfgang"
3454 "Konishi, Hideo"
3455 "Konopka, Andzej K."
3456 "Konyagin, Sergei Vladimirovich"
3457 "Koo, S."
3458 "Koolen, Jacobus Hendricus"
3459 "Kooman, Robert Jan"
3460 "Kooshesh, Ali A."
3461 "Kopetzky, Hans Gunther"
3462 "Koplowitz, Jack"
3463 "Koppelberg, Sabine"
3464 "Koppenrade, Elke"
3465 "Kopperman, Ralph"
3466 "Koppius, Otto"
3467 "Korach, Ephraim"
3468 "Korchmaros, Gabor"
3469 "Kordecki, Wojciech"
3470 "Koren, Michael"
3471 "Koren, Zahava"
3472 "Korevaar, Jacob"
3473 "Korman, Vladimir"
3474 "Kornai, Andras"
3475 "Kornatzky, Yoram"
3476 "Korner, Janos"
3477 "Korner, Thomas William"
3478 "Kornfeld, Isaac"
3479 "Kornprobst, Jean-Michel"
3480 "Kornyei, I."
3481 "Korobov, Nikolai Mikhailovich"
3482 "Korte, Bernhard"
3483 "Korzhik, Vladimir P."
3484 "Kosaraju, S. Rao"
3485 "Kosloff, Ronnie"
3486 "Koslowski, Jurgen"
3487 "Kossler, Milos"
3488 "Kostant, Bertram"
3489 "Kostyrko, Pavel"
3490 "Kotecky, Roman"
3491 "Koti, Kallappa M."
3492 "Kotik, Jack"
3493 "Kotlov, Andrew"
3494 "Kotov, Vladimir M."
3495 "Kotz, Samuel"
3496 "Kotzig, Anton"
3497 "Kou, Lawrence T."
3498 "Koubek, Vaclav"
3499 "Kouemou-Patcheu, Solange"
3500 "Kouider, Mekkia"
3501 "Kountanis, Dionysios"
3502 "Kovacs, Bela"
3503 "Kovacs, Laszlo Gyorgy"
3504 "Kovacs, Peter"
3505 "Kovacs, S. J."
3506 "Kowalski, Oldrich"
3507 "Koyanagi, Tadahiro"
3508 "Kozen, Dexter"
3509 "Kozlov, Dmitry N."
3510 "Kra, Bryna"
3511 "Krackhardt, David"
3512 "Kraetzl, Miro"
3513 "Kral, Daniel"
3514 "Kralik, Dezso"
3515 "Kramer, Earl S."
3516 "Kramer, Judy"
3517 "Krarup, Jakob"
3518 "Krasikov, Ilia"
3519 "Kratochvil, Jan"
3520 "Krattenthaler, Christian"
3521 "Kratzke, Thomas M."
3522 "Kraus, Sarit"
3523 "Krausz, T."
3524 "Kravitz, Sidney"
3525 "Kreher, Donald L."
3526 "Kreinovich, Vladik Ya."
3527 "Kresova, Helena"
3528 "Kreuter, Bernd"
3529 "Kriegel, Klaus"
3530 "Krieger, Michael M."
3531 "Krishna, C. Mani"
3532 "Krishnan, Ganesh"
3533 "Krisztin, Tibor"
3534 "Kriz, Igor"
3535 "Krogdahl, Stein"
3536 "Kronk, Hudson V."
3537 "Kruskal, Clyde P."
3538 "Kruskal, Joseph B., Jr."
3539 "Kruyswijk, D."
3540 "Ku, Tung-Hsin"
3541 "Kuba, Attila"
3542 "Kucera, Ludek"
3543 "Kucharczak, Jerzy"
3544 "Kuczma, Marek"
3545 "Kudar, J."
